"ID";"Visual";"Verbal";"Manipulation";"Orthographic"
"601";601;3.4;4.33333333333333;4;2.33333333333333
"602";602;3.1;3.16666666666667;3.125;1.66666666666667
"603";603;2.4;4.33333333333333;3;2.16666666666667
"604";604;3.2;4.58333333333333;4.25;1.66666666666667
"605";605;3.6;3.83333333333333;4.5;2.5
"606";606;4.2;3.25;4.375;3.33333333333333
"607";607;4.1;4.16666666666667;4.25;2.5
"608";608;4;4.08333333333333;4;2
"609";609;4;4.41666666666667;4.25;3
"610";610;3.7;3.08333333333333;3.75;2.33333333333333
"611";611;3.3;4.08333333333333;3.5;2
"612";612;3;2.83333333333333;4.5;2.5
"613";613;4.2;4.25;4.625;3.33333333333333
"614";614;3;4.16666666666667;3.25;2.33333333333333
"615";615;4.6;4.5;5;4.16666666666667
"616";616;3.3;3.75;2.25;2.66666666666667
"617";617;3.5;4.5;4;3.33333333333333
"618";618;2.8;4.08333333333333;4;2.16666666666667
"619";619;3.4;3.75;4.375;2.83333333333333
"620";620;4.1;4.33333333333333;3.25;3.16666666666667
"621";621;4.3;4.08333333333333;4.125;4.66666666666667
"622";622;3.9;4.33333333333333;3.625;3.33333333333333
"623";623;2.8;3.33333333333333;2.875;2.66666666666667
"624";624;3.5;3.5;2.375;3.66666666666667
"625";625;4.2;4.66666666666667;3.625;4
"626";626;4.9;4.25;3.5;2.83333333333333
"627";627;3.7;3.75;3.625;2.66666666666667
"628";628;4;4.25;4.25;2.5
"629";629;3.9;4.25;4.375;2.83333333333333
"630";630;3.8;4.58333333333333;4.75;4
"631";631;3.3;4.33333333333333;4.375;2.83333333333333
"632";632;3.2;3.91666666666667;4.125;2.16666666666667
"633";633;3.9;2.75;3.875;2.83333333333333
"634";634;4.1;3.33333333333333;3.625;2.83333333333333
"635";635;4;3.41666666666667;4.25;3.33333333333333
"636";636;3.4;3.91666666666667;3.125;3
"637";637;3.2;2.58333333333333;3.125;3
"638";638;3.7;3.33333333333333;3.875;1.83333333333333
"639";639;4;3.75;2.875;2.83333333333333
"640";640;3.9;2.25;3.375;2.33333333333333
"641";641;4.2;3.91666666666667;3.25;3.66666666666667
"642";642;1.7;4.75;4.125;2.16666666666667
"643";643;4.4;4.75;4.25;2.66666666666667
