"","event","trial","time","participant"
"129","blur",2,296478,"A304UJAE051J89"
"130","focus",2,416199,"A304UJAE051J89"
"131","blur",2,417385,"A304UJAE051J89"
"132","focus",2,767626,"A304UJAE051J89"
"133","blur",2,768280,"A304UJAE051J89"
"134","focus",2,771928,"A304UJAE051J89"
"135","fullscreenenter",2,773051,"A304UJAE051J89"
"136","blur",2,23758,"A3F90N8YVKJ4I7"
"137","focus",2,585677,"A3F90N8YVKJ4I7"
"138","fullscreenenter",2,585785,"A3F90N8YVKJ4I7"
"139","blur",4,622747,"A3F90N8YVKJ4I7"
"140","focus",4,629612,"A3F90N8YVKJ4I7"
"141","blur",379,896401,"A3F90N8YVKJ4I7"
"142","focus",379,901646,"A3F90N8YVKJ4I7"
"143","blur",406,930703,"A3F90N8YVKJ4I7"
"144","focus",406,952444,"A3F90N8YVKJ4I7"
"145","blur",831,1445984,"A3F90N8YVKJ4I7"
"146","focus",832,1454781,"A3F90N8YVKJ4I7"
"147","blur",832,1466486,"A3F90N8YVKJ4I7"
"148","focus",832,1477107,"A3F90N8YVKJ4I7"
"149","blur",1,7352,"A3FNC8ELMK8YJA"
"150","focus",1,448359,"A3FNC8ELMK8YJA"
"151","fullscreenenter",2,453836,"A3FNC8ELMK8YJA"
"152","fullscreenexit",36,1165758,"A3FNC8ELMK8YJA"
"153","blur",36,1170779,"A3FNC8ELMK8YJA"
"154","focus",36,1583605,"A3FNC8ELMK8YJA"
"155","blur",54,1965771,"A3FNC8ELMK8YJA"
"156","focus",54,2088288,"A3FNC8ELMK8YJA"
"157","blur",136,2417217,"A3FNC8ELMK8YJA"
"158","focus",136,2591860,"A3FNC8ELMK8YJA"
"159","blur",167,2680866,"A3FNC8ELMK8YJA"
"160","focus",167,2689184,"A3FNC8ELMK8YJA"
"161","blur",240,2928649,"A3FNC8ELMK8YJA"
"162","focus",240,3029843,"A3FNC8ELMK8YJA"
"163","blur",240,3034316,"A3FNC8ELMK8YJA"
"164","focus",240,3338493,"A3FNC8ELMK8YJA"
"165","fullscreenenter",2,10960,"A3KVKK1XLBTSN3"
"166","fullscreenexit",523,2118939,"A3KVKK1XLBTSN3"
"167","fullscreenenter",2,9942,"A3SS0C4IVTSIFL"
"168","fullscreenenter",2,6716,"A5P12YJP805RG"
"169","fullscreenexit",1069,1346553,"A5P12YJP805RG"
"170","blur",1069,1347761,"A5P12YJP805RG"
"171","focus",1069,1349971,"A5P12YJP805RG"
"172","blur",1069,1374425,"A5P12YJP805RG"
"173","focus",1069,1375614,"A5P12YJP805RG"
"174","blur",1070,1399777,"A5P12YJP805RG"
"175","focus",1070,1403102,"A5P12YJP805RG"
"176","focus",0,2684,"A8C3WNWRBWUXO"
"177","fullscreenenter",2,18097,"A8C3WNWRBWUXO"
"178","focus",0,1,"ADY44EV3GCW85"
"179","fullscreenenter",2,29762,"ADY44EV3GCW85"
"180","blur",64,1379302,"ADY44EV3GCW85"
"181","focus",64,1382142,"ADY44EV3GCW85"
"182","blur",68,1395965,"ADY44EV3GCW85"
"183","focus",68,1396103,"ADY44EV3GCW85"
"184","focus",0,1121,"AFFXVHHBUWW4D"
"185","fullscreenenter",2,24935,"AFFXVHHBUWW4D"
"186","fullscreenexit",1040,1497240,"AFFXVHHBUWW4D"
"187","blur",1040,1498992,"AFFXVHHBUWW4D"
"188","focus",1040,1500482,"AFFXVHHBUWW4D"
"189","fullscreenenter",2,254714,"AKVDK30EEV08C"
"190","blur",167,1816944,"AKVDK30EEV08C"
"191","focus",167,1942867,"AKVDK30EEV08C"
"192","blur",0,6177,"AU34T9OMHN4Z4"
"193","focus",1,39796,"AU34T9OMHN4Z4"
"194","fullscreenenter",2,46715,"AU34T9OMHN4Z4"
"195","blur",205,227989,"AU34T9OMHN4Z4"
"196","focus",205,232562,"AU34T9OMHN4Z4"
"197","blur",406,374051,"AU34T9OMHN4Z4"
"198","focus",406,387231,"AU34T9OMHN4Z4"
"199","blur",407,397484,"AU34T9OMHN4Z4"
"200","focus",407,418370,"AU34T9OMHN4Z4"
"201","blur",608,551905,"AU34T9OMHN4Z4"
"202","focus",608,701365,"AU34T9OMHN4Z4"
"203","blur",809,836159,"AU34T9OMHN4Z4"
"204","focus",809,889647,"AU34T9OMHN4Z4"
"205","blur",866,1079059,"AU34T9OMHN4Z4"
"206","focus",866,1100060,"AU34T9OMHN4Z4"
"207","blur",970,1382923,"AU34T9OMHN4Z4"
"208","focus",970,1420234,"AU34T9OMHN4Z4"
"209","blur",1043,1612766,"AU34T9OMHN4Z4"
"210","focus",1043,1630825,"AU34T9OMHN4Z4"
"211","blur",1272,1963566,"AU34T9OMHN4Z4"
"212","focus",1272,1978752,"AU34T9OMHN4Z4"
"213","focus",0,432,"AURYD2FH3FUOQ"
"214","fullscreenenter",2,26417,"AURYD2FH3FUOQ"
"215","focus",0,6,"AKR9067Q09RZS"
"216","blur",1,52218,"AKR9067Q09RZS"
"217","focus",1,57556,"AKR9067Q09RZS"
"218","blur",0,853,"A1CB72B51L7TKE"
"219","focus",1,41650,"A1CB72B51L7TKE"
"220","fullscreenenter",2,43763,"A1CB72B51L7TKE"
"221","blur",267,2147197,"A1CB72B51L7TKE"
"222","focus",267,2147199,"A1CB72B51L7TKE"
"223","blur",471,2456972,"A1CB72B51L7TKE"
"224","focus",471,2462420,"A1CB72B51L7TKE"
"225","blur",472,2462957,"A1CB72B51L7TKE"
"226","focus",473,2479230,"A1CB72B51L7TKE"
"227","blur",474,2491130,"A1CB72B51L7TKE"
"228","focus",475,2503769,"A1CB72B51L7TKE"
"229","blur",476,2533472,"A1CB72B51L7TKE"
"230","focus",477,2548067,"A1CB72B51L7TKE"
"231","blur",478,2563097,"A1CB72B51L7TKE"
"232","focus",479,2573951,"A1CB72B51L7TKE"
"233","blur",479,2592668,"A1CB72B51L7TKE"
"234","focus",479,2595110,"A1CB72B51L7TKE"
"235","blur",480,2595657,"A1CB72B51L7TKE"
"236","focus",481,2610023,"A1CB72B51L7TKE"
"237","blur",481,2618778,"A1CB72B51L7TKE"
"238","focus",481,2621261,"A1CB72B51L7TKE"
"239","blur",482,2621917,"A1CB72B51L7TKE"
"240","focus",483,2636796,"A1CB72B51L7TKE"
"241","blur",483,2651837,"A1CB72B51L7TKE"
"242","focus",483,2656775,"A1CB72B51L7TKE"
"243","blur",484,2657499,"A1CB72B51L7TKE"
"244","focus",485,2671669,"A1CB72B51L7TKE"
"245","blur",485,2687894,"A1CB72B51L7TKE"
"246","focus",485,2697811,"A1CB72B51L7TKE"
"247","blur",486,2698310,"A1CB72B51L7TKE"
"248","focus",487,2712968,"A1CB72B51L7TKE"
"249","blur",487,2722900,"A1CB72B51L7TKE"
"250","focus",487,2725474,"A1CB72B51L7TKE"
"251","blur",488,2726423,"A1CB72B51L7TKE"
"252","focus",489,2741034,"A1CB72B51L7TKE"
"253","blur",489,2752151,"A1CB72B51L7TKE"
"254","focus",489,2765897,"A1CB72B51L7TKE"
"255","blur",490,2766536,"A1CB72B51L7TKE"
"256","focus",491,2781599,"A1CB72B51L7TKE"
"257","blur",492,2791549,"A1CB72B51L7TKE"
"258","focus",493,2806117,"A1CB72B51L7TKE"
"259","blur",494,2815787,"A1CB72B51L7TKE"
"260","focus",495,2829758,"A1CB72B51L7TKE"
"261","blur",495,2838795,"A1CB72B51L7TKE"
"262","focus",495,2841332,"A1CB72B51L7TKE"
"263","blur",506,2953216,"A1CB72B51L7TKE"
"264","focus",507,2963608,"A1CB72B51L7TKE"
"265","blur",508,2974455,"A1CB72B51L7TKE"
"266","focus",509,2987822,"A1CB72B51L7TKE"
"267","blur",510,3000264,"A1CB72B51L7TKE"
"268","focus",511,3014432,"A1CB72B51L7TKE"
"269","blur",512,3026344,"A1CB72B51L7TKE"
"270","focus",513,3039848,"A1CB72B51L7TKE"
"271","blur",514,3046512,"A1CB72B51L7TKE"
"272","focus",515,3060638,"A1CB72B51L7TKE"
"273","blur",516,3076004,"A1CB72B51L7TKE"
"274","focus",517,3089099,"A1CB72B51L7TKE"
"275","blur",518,3098040,"A1CB72B51L7TKE"
"276","focus",519,3111951,"A1CB72B51L7TKE"
"277","blur",519,3120099,"A1CB72B51L7TKE"
"278","focus",519,3127442,"A1CB72B51L7TKE"
"279","blur",1128,3623600,"A1CB72B51L7TKE"
"280","focus",1128,3624851,"A1CB72B51L7TKE"
"281","blur",1329,3769308,"A1CB72B51L7TKE"
"282","focus",1329,3780608,"A1CB72B51L7TKE"
"283","fullscreenenter",2,21371,"A1LRJ4U04532TM"
"284","fullscreenexit",205,199843,"A1LRJ4U04532TM"
"285","blur",205,204396,"A1LRJ4U04532TM"
"286","focus",205,218085,"A1LRJ4U04532TM"
"287","blur",1020,1101384,"A1LRJ4U04532TM"
"288","focus",1020,1104008,"A1LRJ4U04532TM"
"289","blur",1067,1773454,"A1LRJ4U04532TM"
"290","focus",1067,1773671,"A1LRJ4U04532TM"
"291","fullscreenenter",2,26287,"A1RKGN3VY39TM1"
"292","blur",0,269,"A26RO8GGTQAXGG"
"293","focus",0,396,"A26RO8GGTQAXGG"
"294","fullscreenenter",2,25317,"A26RO8GGTQAXGG"
"295","blur",0,2377,"A2PWUACCQI97J8"
"296","focus",0,3405,"A2PWUACCQI97J8"
"297","blur",0,6533,"A2PWUACCQI97J8"
"298","focus",1,15401,"A2PWUACCQI97J8"
"299","fullscreenenter",2,20815,"A2PWUACCQI97J8"
"300","fullscreenenter",2,20836,"A9LSEP71DNP4O"
"301","blur",1274,1449207,"A9LSEP71DNP4O"
